year,month,day,hour,min,dayweek,IN,OUT,VOIP,Netflix,DAZN
2022,1,20,23,55,5,277106753.27,46577462.4406,123639.04,44551392,63262.5067
2022,1,21,0,0,6,299906379.969,47002534.8365,145258.8533,37661670.4267,49240.1067
2022,1,21,0,5,6,324723117.24,48638734.5003,15712.2133,39490805.8667,43969.2533
2022,1,21,0,10,6,316823316.144,41664924.5261,13115.3067,37260716.9067,13717.0667
2022,1,21,0,15,6,363226403.275,44218657.3711,17388.72,36013814.88,11344
2022,1,21,0,20,6,320873476.249,45016189.0835,17392.5333,56814116.8,26816.5333
2022,1,21,0,25,6,281790215.311,47119239.3149,37884.6667,39971247.3333,52751.92
2022,1,21,0,30,6,248450843.941,50800200.2679,108664.2133,32015831.4667,23564.1067
2022,1,21,0,35,6,267003821.184,46728791.3356,115248.5333,35598568,29169.8667
2022,1,21,0,40,6,240651600.747,50606978.1012,219938.56,33307327.04,61669.12
2022,1,21,0,45,6,253048101.233,50585119.8709,548388.5867,26086011.52,44049.3333
2022,1,21,0,50,6,252018757.767,55034413.3184,1074367.8933,30749041.1733,47165.68
2022,1,21,0,55,6,213669515.03,51833378.5448,167715.3067,35049980.48,47656
2022,1,21,1,0,6,189234262.19,55869389.002,164438.2667,41462476,23843.3067
2022,1,21,1,5,6,191766497.691,49891773.1086,443858.6667,36923005.8667,107988.0533
2022,1,21,1,10,6,218296138.399,49937886.4175,448592,36844240,114872
2022,1,21,1,15,6,227161837.115,40748836.8791,2207861.8667,77509620.2667,78510.4
2022,1,21,1,20,6,176489420.745,42543146.453,362074.0267,37219013.76,49683.52
2022,1,21,1,25,6,150924063.932,47907541.0766,1321912.64,26304486,34393.3333
2022,1,21,1,30,6,180448214.227,47649165.8686,222794.72,28151019.04,12219.68
2022,1,21,1,35,6,189724941.027,44532869.2228,3215.8933,27939626.9867,24212.8
2022,1,21,1,40,6,171805132.826,40196673.4141,21836.6667,38069927.0667,19466.9867
2022,1,21,1,45,6,141420097.05,42452114.8307,27275.4133,48672546.3467,123624.7733
2022,1,21,1,50,6,151146103.321,44247447.7128,32561.4933,44371649.0667,38244.48
2022,1,21,1,55,6,128004769.993,44389563.1067,51315.28,37828692.16,16760.6133
2022,1,21,2,0,6,151683450.289,30018082.5118,1231.36,34295974.5067,15656
2022,1,21,2,5,6,135293340.605,36429156.6515,64980,47865045.6,29831.36
2022,1,21,2,10,6,126243699.099,35715553.8039,1706.9333,36440688.6667,30208.1067
2022,1,21,2,15,6,137278093.862,41096575.7024,229.2267,29840324.5867,42765.9733
2022,1,21,2,20,6,121860103.424,43813275.731,530.8,20746277.8667,59216.0267
2022,1,21,2,25,6,124371987.103,40605289.0068,27570.6667,26498934.2933,14849.44
2022,1,21,2,30,6,134672094.154,38924244.5408,814.5067,23990306.7733,11208
2022,1,21,2,35,6,125853007.695,47084120.2656,455.8933,21119340.16,28295.7333
